RecordID,title,target_or_only_language,original_language,monolingual,multilingual,monolingual_translations
9992333442201488,"La grammaire de Despautere, abregée et corrigée ...par un pere de la compagnie de Jesus",fre|lat,,0,1,0
9923685330101488,"De dialectis diversis declinationvm Graecanicarvm tam in verbis quàm nominibus,authore Hadriano Amerotio/De dialectis diversis declinationum Graecanicarum tam in verbis quam nominibus",grc|lat,,0,1,0
9992259808701488,"Aenleydinge tot het oprecht geloove, door de merck-teekenen der waerachtige kercke Christi.Door J.R.P.",dut,,1,0,0
9922526700101488,"Adriani ScrieckI RodornI Monitorvm secvndorvm libri V.Quibus originum rerumq. Celticarum & Belgicarum opvs suum nuper editum, altiùs & auctiùs è fontibus Hebraicis, ipsâq. rerum origine deducit, probat, firmatq. .../Adriani Scrieckii Rodornii Monitorum secundorum libri V. Quibus originum rerumque Celticarum & Belgicarum opus suum nuper editum, altius & auctiùs è fontibus Hebraicis, ipsaque rerum origine deducit, probat, firmatque .../Monitorum secundorum libri V.",lat|dut|heb|grc,,0,1,0
99972410101488,"Humanismo frente a comunismola primera monografia anticomunista publicada en el mundo, obra de un pensador español el universalmente célebre humanista Juan Luis Vives ... .",spa,lat,1,0,1
9913652290101488,"Epistolae Graecae elegantissimæ, ex diuersis autoribus diligenter selectæ. Luciani Saturnalia. Eiusdem Cronosolon .i. Saturnalium legum lator. Eiusdem epistolæ Saturnales.",grc,,1,0,0
9992611094001488,"Admiranda oder Wundergeschichten, von der unaußsprächlichen Macht, Herrlich: und Großmächtigkeit der Statt Rom, und Römischen Monarchey ...Von ... Justo Lipsio. In Lateinischer Sprach beschrieben: Nun aber in das Teutsche ubersetzet,  in vier Bücher abgetheilt ...",ger,lat,1,0,1
9984953420101488,"Korte historie en levens der SS. martelaers van Gorcomgetrocken uyt de waerachtige beschryvinge van hunnen martelie,/door den geroemden Guillielmus Estius ... ter oorsaeke van hun twee-hondert-jaerig jubilé in het Vlaemsch uytgegeven door ***.",dut,lat,1,0,1
9978979460101488,"Exhortation faite par monseignevr l'archidvc d'Avstrice ... l'onzieme d'avril, M.D.LXXIX. Item les poincts & articles proposés ... aux estatz generaux,auec la harengve de messire Elbert Leoninus .../Exhortation faite par monseigneur l'archiduc d'Austrice ... l'onzieme d'avril, M.D.LXXIX. Item les poincts & articles proposés ... aux estatz generaux, avec la harengue de messire Elbert Leoninus ...",fre|lat,lat,0,1,0
9989699090101488,"Old Rome and London compared, the first in its full glory, and the last in its present state. By which it plainly appears, that Lipsius and Vossius are egregiously mistaken, in their over-stretched, fulsom, and hyperbolical account of Old Rome; And that London, as it is at present, exceeds it much in its extent, populousness and many other advantages. ...By a person of quality.",eng,,1,0,0
9981131580101488,"Instruccion de la muger christiana.Obra compuesta en Latin por el célebre Juan Luis Vives, que traduxo á la lengua Castellana Juan Justiniano.",spa,lat,1,0,1
9921868300101488,"Dictionnaire français-latin, refait sur un plan entièrement neuf  ...Par Fr. Noël ...",fre|lat,,0,1,0
9992703209601488,"Berigt voor d'Universiteyt &c. van Leuven, op de onderstaande twee brieven, geschreven aen haer Ho:Mo:, door de Heeren Vicarissen Generael van den Bisschop van Doornick, den 16. en 23. July 1710",dut|fre,,0,1,0
9911342600101488,"Ex variis libellis Eliae grammaticorum omnium doctissimi, huc fere congestum est opera,Ioannis Campensis, quidquid ad absolutam grammaticen Hebraicam est necessarium",lat|heb,,0,1,0
9915673440101488,"Copia epistolæ ... imperatoris Caroli V. scriptæ cardinalibus S. Eusebii, ss. quatuor, & de Medicis, commissis à sanctissimo ad examinationem privilegiorum universitatis Lovaniensis [e.a]",lat|fre|dut,,0,1,0
9911467690101488,"Simeonis de Muis ... Commentarius literalis et historicus in omnes Psalmos Davidis, et selecta Veteris Testamenti cantica, ad editionem optimam Parisiensem anni M.DC.L. recusus.Accesserunt Jacobi Benigni Bossuet ... Notæ in Psalmos et aliquot cantica : ejusdem Supplenda in psalmos, et Dissertatio Gallica in psalmum XXI. Supremam pagellarum oram occupat psalmorum triplex versio : Vulgata, Hieronymiana, et Muisiana .../Commentarius literalis et historicus in omnes Psalmos Davidis",lat|fre,,0,1,0
9915846550101488,Brief van het Magistraet van Brugge van date 16 February 1788 aen de ordinaire Gedeputeerde der Staeten van Vlaenderen tenderende om staets gewyze te doen naedere Representatie tegen de opregtinge van een Seminarie Generael tot Loven ...,dut|fre,,0,1,0
